iter	Passed	Remaining
425	2223	5606
426	2230	5603
427	2236	5601
428	2242	5598
429	2248	5594
430	2254	5592
431	2259	5586
432	2266	5584
433	2272	5581
434	2278	5578
435	2283	5573
436	2290	5570
437	2296	5568
438	2302	5563
439	2308	5560
440	2314	5556
441	2320	5554
442	2326	5550
443	2332	5547
444	2338	5544
445	2344	5541
446	2350	5536
447	2356	5533
448	2362	5530
449	2368	5527
450	2375	5524
451	2381	5521
452	2387	5518
453	2394	5515
454	2400	5513
455	2406	5510
456	2413	5507
457	2419	5504
458	2425	5501
459	2431	5497
460	2437	5493
461	2443	5489
462	2449	5485
463	2455	5482
464	2462	5480
465	2466	5473
466	2471	5467
467	2477	5463
468	2484	5460
469	2490	5456
470	2496	5453
471	2502	5449
472	2508	5445
473	2512	5438
474	2518	5435
475	2525	5432
476	2530	5427
477	2536	5424
478	2542	5419
479	2547	5414
480	2553	5410
481	2559	5406
482	2565	5402
483	2571	5398
484	2577	5393
485	2583	5390
486	2589	5386
487	2595	5382
488	2602	5380
489	2608	5376
490	2613	5371
491	2619	5367
492	2625	5363
493	2631	5359
494	2638	5356
495	2644	5352
496	2649	5346
497	2655	5343
498	2662	5340
499	2667	5335
500	2673	5331
501	2680	5328
502	2686	5324
503	2692	5320
504	2698	5316
505	2703	5311
506	2708	5303
507	2713	5298
508	2719	5295
509	2725	5290
510	2732	5287
511	2737	5282
512	2743	5279
513	2750	5276
514	2756	5272
515	2762	5268
516	2769	5264
517	2774	5259
518	2780	5255
519	2785	5249
520	2791	5245
521	2797	5241
522	2803	5237
523	2809	5233
524	2816	5229
525	2821	5224
526	2827	5219
527	2832	5215
528	2838	5209
529	2844	5205
530	2850	5201
531	2856	5198
532	2862	5194
533	2869	5190
534	2874	5185
535	2880	5180
536	2885	5175
537	2891	5170
538	2897	5166
539	2903	5161
540	2908	5156
541	2914	5151
542	2919	5146
543	2925	5141
544	2931	5137
545	2937	5132
546	2943	5128
547	2949	5124
548	2955	5119
549	2961	5115
550	2966	5110
551	2972	5105
552	2978	5100
553	2983	5095
554	2989	5090
555	2995	5086
556	3001	5082
557	3007	5077
558	3013	5072
559	3019	5068
560	3025	5063
561	3031	5059
562	3037	5054
563	3043	5050
564	3048	5044
565	3053	5039
566	3060	5035
567	3065	5029
568	3072	5026
569	3077	5020
570	3083	5016
571	3088	5010
572	3094	5006
573	3100	5001
574	3105	4996
575	3112	4992
576	3118	4988
577	3123	4982
578	3129	4978
579	3136	4974
580	3142	4970
581	3147	4965
582	3154	4960
583	3159	4956
584	3166	4952
585	3171	4947
586	3177	4941
587	3183	4937
588	3189	4933
589	3195	4928
590	3201	4924
591	3208	4920
592	3214	4916
593	3220	4912
594	3227	4908
595	3231	4901
596	3237	4897
597	3243	4892
598	3250	4888
599	3256	4884
600	3261	4878
601	3267	4874
602	3273	4868
603	3278	4863
604	3284	4859
605	3289	4852
606	3295	4847
607	3300	4842
608	3306	4838
609	3311	4831
610	3317	4827
611	3323	4821
612	3329	4817
613	3334	4811
614	3339	4805
615	3345	4801
616	3351	4796
617	3356	4790
618	3362	4786
619	3368	4780
620	3372	4774
621	3378	4768
622	3383	4762
623	3388	4756
624	3392	4749
625	3397	4743
626	3402	4737
627	3407	4730
628	3411	4724
629	3415	4717
630	3420	4710
631	3425	4704
632	3429	4697
633	3434	4691
634	3440	4686
635	3446	4681
636	3451	4676
637	3456	4670
638	3462	4665
639	3469	4661
640	3473	4654
641	3479	4650
642	3485	4645
643	3491	4640
644	3495	4633
645	3500	4627
646	3505	4621
647	3509	4614
648	3513	4607
649	3518	4601
650	3523	4595
651	3528	4589
652	3532	4582
653	3537	4576
654	3542	4569
655	3545	4562
656	3550	4556
657	3555	4549
658	3559	4542
659	3564	4536
660	3568	4529
661	3573	4523
662	3578	4517
663	3583	4511
664	3588	4505
665	3593	4499
666	3597	4493
667	3601	4485
668	3606	4479
669	3611	4473
670	3615	4467
671	3620	4460
672	3625	4454
673	3629	4447
674	3633	4441
675	3638	4435
676	3643	4429
677	3646	4421
678	3650	4414
679	3655	4407
680	3659	4400
681	3664	4394
682	3668	4388
683	3673	4382
684	3678	4376
685	3683	4370
686	3687	4364
687	3692	4358
688	3696	4351
689	3701	4344
690	3706	4339
691	3711	4333
692	3716	4327
693	3721	4321
694	3726	4316
695	3731	4310
696	3735	4303
697	3740	4297
698	3745	4291
699	3749	4284
700	3753	4278
701	3759	4273
702	3764	4268
703	3770	4262
704	3776	4258
705	3781	4253
706	3787	4248
707	3793	4243
708	3798	4237
709	3804	4233
710	3811	4229
711	3817	4225
712	3825	4222
713	3832	4218
714	3838	4214
715	3844	4210
716	3850	4205
717	3856	4200
718	3863	4196
719	3869	4192
720	3875	4186
721	3881	4182
722	3886	4177
723	3891	4171
724	3897	4166
725	3903	4161
726	3909	4157
727	3916	4152
728	3920	4146
729	3924	4139
730	3930	4134
731	3935	4128
732	3940	4123
733	3945	4117
734	3951	4113
735	3956	4107
736	3963	4103
737	3969	4098
738	3976	4094
739	3982	4089
740	3987	4084
741	3993	4080
742	3998	4073
743	4006	4070
744	4011	4065
745	4015	4058
746	4020	4052
747	4025	4046
748	4030	4041
749	4035	4035
750	4040	4029
751	4045	4024
752	4050	4017
753	4054	4011
754	4058	4004
755	4063	3998
756	4068	3993
757	4074	3988
758	4079	3982
759	4085	3977
760	4090	3971
761	4095	3966
762	4100	3960
763	4105	3955
764	4110	3949
765	4115	3943
766	4120	3938
767	4125	3932
768	4129	3925
769	4134	3919
770	4138	3912
771	4143	3907
772	4148	3902
773	4152	3895
774	4157	3889
775	4161	3883
776	4166	3876
777	4170	3870
778	4175	3864
779	4181	3859
780	4189	3856
781	4196	3852
782	4203	3849
783	4208	3843
784	4215	3839
785	4223	3836
786	4229	3831
787	4235	3826
788	4243	3824
789	4249	3819
790	4254	3813
791	4261	3809
