SEX	BINARY	{0: -0.31866386666161184, 1: 0.43119614262004613}
AVR_C_PR_SEGM_AV	CONTINUOUS	{'mean':69.97087318762084,'std':34.716321475619765}
AVR_C_PR_SEGM_DEV	CONTINUOUS	{'mean':8.428152608866995,'std':10.822656938265213}
AVR_C_ST_SEGM_AV	CONTINUOUS	{'mean':128.36807947985923,'std':33.68566474079342}
AVR_C_ST_SEGM_DEV	CONTINUOUS	{'mean':17.274796720688908,'std':13.161604637673816}
AVR_C_QT_INT_AV	CONTINUOUS	{'mean':377.23877383185794,'std':46.128608659207075}
AVR_C_QT_INT_DEV	CONTINUOUS	{'mean':20.309255799502996,'std':17.11401094886043}
AVL_C_P_AV	CONTINUOUS	{'mean':66.75883427835691,'std':25.267442167349813}
AVL_C_P_DEV	CONTINUOUS	{'mean':10.573637077902625,'std':6.940490214237765}
AVL_C_QRS_AV	CONTINUOUS	{'mean':96.97352156426888,'std':17.7738177963978}
AVL_C_QRS_DEV	CONTINUOUS	{'mean':5.429371925612651,'std':5.768406540652462}
AVL_C_T_AV	CONTINUOUS	{'mean':152.17441058823965,'std':28.563163453538497}
AVL_C_T_DEV	CONTINUOUS	{'mean':21.800839584124013,'std':11.974850079376681}
AVL_C_PR_INT_AV	CONTINUOUS	{'mean':132.13966424616908,'std':48.031314366793445}
AVL_C_PR_INT_DEV	CONTINUOUS	{'mean':12.472770505376314,'std':10.292604531555716}
AVL_C_PR_SEGM_AV	CONTINUOUS	{'mean':65.48092934045224,'std':30.464549484391323}
AVL_C_PR_SEGM_DEV	CONTINUOUS	{'mean':10.55592388697121,'std':9.36485312852644}
AVL_C_ST_SEGM_AV	CONTINUOUS	{'mean':122.5033885829613,'std':66.97263769022548}
AVL_C_ST_SEGM_DEV	CONTINUOUS	{'mean':19.470420118672337,'std':18.214372539424414}
AVL_C_QT_INT_AV	CONTINUOUS	{'mean':372.3566394605583,'std':74.15850265531829}
AVL_C_QT_INT_DEV	CONTINUOUS	{'mean':23.11314476644045,'std':21.254952061242918}
AVF_C_P_AV	CONTINUOUS	{'mean':84.35858784793882,'std':31.480391754785604}
AVF_C_P_DEV	CONTINUOUS	{'mean':8.9064085618443,'std':6.9473957036182545}
AVF_C_QRS_AV	CONTINUOUS	{'mean':96.13306310413763,'std':16.5362408607868}
AVF_C_QRS_DEV	CONTINUOUS	{'mean':4.900339524037975,'std':5.719926313461335}
AVF_C_T_AV	CONTINUOUS	{'mean':160.7244914559221,'std':28.065836622087083}
AVF_C_T_DEV	CONTINUOUS	{'mean':18.72391270710998,'std':11.608401903724724}
AVF_C_PR_INT_AV	CONTINUOUS	{'mean':154.93149503730095,'std':56.22159367925562}
AVF_C_PR_INT_DEV	CONTINUOUS	{'mean':8.571500346038798,'std':9.698804955750084}
AVF_C_PR_SEGM_AV	CONTINUOUS	{'mean':70.61395367976102,'std':36.028420788713774}
AVF_C_PR_SEGM_DEV	CONTINUOUS	{'mean':7.310438000232376,'std':8.755317810749798}
AVF_C_ST_SEGM_AV	CONTINUOUS	{'mean':121.0861733920813,'std':38.98288713248627}
AVF_C_ST_SEGM_DEV	CONTINUOUS	{'mean':15.957871659718078,'std':22.739066751070553}
AVF_C_QT_INT_AV	CONTINUOUS	{'mean':378.4046442153411,'std':48.87950354541564}
AVF_C_QT_INT_DEV	CONTINUOUS	{'mean':18.914896984845612,'std':24.275320964674354}
V1_C_P_AV	CONTINUOUS	{'mean':70.18757622634647,'std':24.60796771236234}
V1_C_P_DEV	CONTINUOUS	{'mean':8.45697464802,'std':6.153909420391098}
V1_C_QRS_AV	CONTINUOUS	{'mean':99.54333780137455,'std':18.24214074372301}
V1_C_QRS_DEV	CONTINUOUS	{'mean':4.058831194369849,'std':5.380096353154585}
V1_C_T_AV	CONTINUOUS	{'mean':162.7270855040586,'std':28.943792649071245}
V1_C_T_DEV	CONTINUOUS	{'mean':17.676242595069034,'std':12.598639174516721}
V1_C_PR_INT_AV	CONTINUOUS	{'mean':143.60941512526344,'std':51.38038616813108}
V1_C_PR_INT_DEV	CONTINUOUS	{'mean':9.181782531852928,'std':8.29144822332616}
V1_C_PR_SEGM_AV	CONTINUOUS	{'mean':73.46357055673101,'std':33.96148094705689}
V1_C_PR_SEGM_DEV	CONTINUOUS	{'mean':8.689506873538791,'std':7.999206893460274}
V1_C_ST_SEGM_AV	CONTINUOUS	{'mean':110.80739259643107,'std':32.8608180623147}
V1_C_ST_SEGM_DEV	CONTINUOUS	{'mean':16.068261517454445,'std':15.328768810639849}
V1_C_QT_INT_AV	CONTINUOUS	{'mean':373.69342709442236,'std':43.006991739086416}
V1_C_QT_INT_DEV	CONTINUOUS	{'mean':18.06171797753482,'std':18.257020454598695}
V2_C_P_AV	CONTINUOUS	{'mean':68.0526883337573,'std':29.36393751757769}
V2_C_P_DEV	CONTINUOUS	{'mean':8.667873680441305,'std':6.5431102918327335}
V2_C_QRS_AV	CONTINUOUS	{'mean':103.01959650367586,'std':17.77134230797705}
V2_C_QRS_DEV	CONTINUOUS	{'mean':3.281619951577276,'std':4.7147847456261704}
V2_C_T_AV	CONTINUOUS	{'mean':186.29478078559467,'std':32.26391205060734}
V2_C_T_DEV	CONTINUOUS	{'mean':12.587998799722861,'std':12.119849864980125}
V2_C_PR_INT_AV	CONTINUOUS	{'mean':139.51683892445587,'std':58.032411531052034}
V2_C_PR_INT_DEV	CONTINUOUS	{'mean':9.267691033582949,'std':8.0834992756071}
V2_C_PR_SEGM_AV	CONTINUOUS	{'mean':71.47700253302641,'std':34.52980845855629}
V2_C_PR_SEGM_DEV	CONTINUOUS	{'mean':7.352122373710159,'std':7.186678083016043}
V2_C_ST_SEGM_AV	CONTINUOUS	{'mean':92.88152331746797,'std':31.245748785195737}
V2_C_ST_SEGM_DEV	CONTINUOUS	{'mean':10.17023982894137,'std':11.709783618452603}
V2_C_QT_INT_AV	CONTINUOUS	{'mean':382.63984967527784,'std':42.67261368741155}
V2_C_QT_INT_DEV	CONTINUOUS	{'mean':11.164932540608614,'std':14.300456752072792}
V3_C_P_AV	CONTINUOUS	{'mean':72.8443962384393,'std':32.814797398152976}
V3_C_P_DEV	CONTINUOUS	{'mean':8.67105169255518,'std':6.838924580424635}
V3_C_QRS_AV	CONTINUOUS	{'mean':102.50058616217056,'std':17.20065247202658}
V3_C_QRS_DEV	CONTINUOUS	{'mean':3.1460207824801314,'std':4.625057745890765}
V3_C_T_AV	CONTINUOUS	{'mean':188.46620679885802,'std':33.614260699383614}
V3_C_T_DEV	CONTINUOUS	{'mean':12.94975956864462,'std':12.735121441854837}
V3_C_PR_INT_AV	CONTINUOUS	{'mean':140.0936274577246,'std':60.51504753889471}
V3_C_PR_INT_DEV	CONTINUOUS	{'mean':8.261568713796876,'std':7.71017545596054}
V3_C_PR_SEGM_AV	CONTINUOUS	{'mean':67.32118006202879,'std':34.71947616478122}
V3_C_PR_SEGM_DEV	CONTINUOUS	{'mean':6.248537885482379,'std':6.2830904004911865}
